english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
"sitting, they are",Verb,aqum'aut; aqumgaut,sittingthosethreen.mp3,,aqum'aut; aqumgaut,sittingthosethreen.mp3,,SKH_183.gif,,Physical Actions,Candace Branson,,TRUE,
sink,Noun,ertuwiwik,,,ermigwik,sink2s.mp3,,sink.gif,,Household,Candace Branson,,TRUE,
singer,Noun,aturta,singern.mp3,,aturta,singern.mp3,,SKT_013.gif,,People & Roles,Candace Branson,New Word,TRUE,
sill; threshold,Noun,pa_aukaq,,,pu_ukaq,sills.mp3,,sill.gif,,Household,Candace Branson,,TRUE,
"sick, s/he is",Verb,qena'uq,,,qena'uq,sickheiss.mp3,,Fotosearch_EVW_157.gif,,Body & Health,Candace Branson,,TRUE,
Shuyak Island,Noun,Suyaraq,shuyakislandn.mp3,,Suyaraq,shuyakislandn.mp3,,shuyakisland.gif,,Placenames,Candace Branson,,TRUE,
shot (needle),Noun,kaputaq,,,kaputaq,shots.mp3,,Fotosearch_SKC_087.gif,,Body & Health,Candace Branson,New Word,TRUE,
shoelace,Noun,tupiq,,,tupiq,shoelaces.mp3,,shoelace.gif,,Clothing & Regalia,Candace Branson,,TRUE,
"shiny, it is",Verb,akirtuq,,,akirtuq,shinyitis2s.mp3,,shiny.jpg,,Senses & Emotions,Candace Branson,,TRUE,
shed,Noun,sa_ayaq,,,sa_ayaq,sheds.mp3,,shed.gif,,"Household, Household",Candace Branson,,TRUE,
"shaving, s/he is",Verb,ungairtuq,,,ungairtuq,shavings.mp3,,SKH_102.gif,,Physical Actions,Candace Branson,,TRUE,
"sharp, it is",Verb,ipegtuq,sharps.mp3,,ip'gtuq,sharp2s.mp3,,Fotosearch_FAD_156.gif,,Senses & Emotions,Candace Branson,Variation is not always northern and southern difference,TRUE,
"shaking his/her hand, s/he is",Verb,aigarturaa,shakinghandsn.mp3,,aigarturaa,shakinghandsn.mp3,,Fotosearch_SWO_015.gif,,Physical Actions,Candace Branson,,TRUE,
"sewing, s/he is",Verb,mingquq,,,mingquq,sewingheiss.mp3,,sewing_copy1.jpg,,"Clothing & Regalia, Physical Actions",Candace Branson,,TRUE,
"sewing kit, in the",Locative,kakiwigmi,,,kakiwigmi,sewingkitinthes.mp3,,Kakiwik.gif,,"Household, Clothing & Regalia, Community & Work",Candace Branson,,TRUE,
scrubber; sponge; switch,Noun,taariq,,Taariq taisgu. - Bring me the scrubber,taariq,scrubbers.mp3,Taariq taisgu. - Bring me the scrubber,sponge.gif,taarir,"Household, Community & Work",Candace Branson,AWOTW,TRUE,
screw,Noun,wintaaq,,,wintaaq,screws.mp3,,screw.gif,,Community & Work,Candace Branson,,TRUE,
school,Noun,skauluq,l1.09.05n.mp3,Naata guangkuta skaulurluta. - We should all go to school.,skuuluq,L1.09.05s.mp3,Naata guangkuta skaulurluta. - We should all go to school.,school.gif,,Community & Work,Candace Branson,AWOTW,TRUE,
Thanksgiving Day,Noun,Quyawik,thanksgiving1n.mp3,,Quyawik,thanksgiving1n.mp3,,fotosearch_col_144_copy1.jpg,,Community & Work,Candace Branson,"Holiday, AWOTW",TRUE,
"scales, fish",Noun,riqtat; sisuyat,,,riqtat; sisuyat,scaless.mp3,,scales.gif,,Animals,Candace Branson,,TRUE,
Saturday; week,Noun,Maqineq,saturdayn.mp3,,Maqineq,saturdayn.mp3,,Saturday.gif,,Numbers & Time,Candace Branson,Day of the Week,TRUE,
sailor,Noun,mat_ausaq,sailorn.mp3,,mat_uusaq,,,SKW_032.gif,,People & Roles,Candace Branson,,TRUE,
"sailboat, single mast schooner",Noun,palayaq,sailboatsinglemastn.mp3,,palayaq,sailboatsinglemastn.mp3,,ship3.gif,,Transportation,Candace Branson,,TRUE,
sail,Noun,rauciq,sailn.mp3,,raa'yuciq,,,sail.gif,,Transportation,Candace Branson,,TRUE,
Russian,Noun,Kasaakaq,russian.mp3,Cuumi Sun'ami kasaakat amlertaumallriit. - Before in Kodiak there was (reportedly) a lot of Russians.,Kasaakaq,russians.mp3,Cuumi Sun'ami kasaakat amlertaumallriit. - Before in Kodiak there was (reportedly) a lot of Russians.,SKW_243.gif,,People & Roles,Candace Branson,AWOTW,TRUE,
"running, they (2) are",Verb,qecenguk,runningn.mp3,,qec'nguk,runningn.mp3,,Fotosearch_EVW_134.gif,,Physical Actions,Candace Branson,,TRUE,
"rowing, s/he is",Verb,anguartuq,rowingheisn.mp3,,anguartuq,rowingheisn.mp3,,SKW_029.gif,,"Transportation, Transportation",Candace Branson,,TRUE,
rolling pin,Noun,skaalaq,,,skaalaq,rollingpins.mp3,,SKT_117.gif,,Food & Kitchen,Candace Branson,,TRUE,
rock; stone,Noun,yaamaq,,Yaamat wiit_Ruumi et'ut. - The rocks are in the bucket.,yaamaq,rocks.mp3,Yaamat wiit_Ruumi et'ut. - The rocks are in the bucket.,rock.gif,,Environment & Location,Candace Branson,AWOTW,TRUE,
ring,Noun,kuluteq,,,kuluteq,rings.mp3,,SKT_184.gif,,Clothing & Regalia,Candace Branson,,TRUE,
ribbon,Noun,lintaq,ribbonn.mp3,,lintaq,ribbonn.mp3,,ribbon.gif,,"Household, Clothing & Regalia",Candace Branson,,TRUE,
waiter; waitress; server at restaurant,Noun,tait'sta,waiter1n.mp3,,tait'sta,waiters.mp3,,fotosearch_evw_116.jpg,,People & Roles,Candace Branson,New Word,TRUE,
waiter; waitress; server at restaurant,Noun,tait'steq,waiter2n.mp3,,tait'steq,waiter2n.mp3,,fotosearch_evw_116_copy1.jpg,,People & Roles,Candace Branson,New Word,TRUE,
Raspberry Island,Noun,Masiqsiq,,,Masiqsiq,raspberryislands.mp3,,raspberryisland.gif,,Placenames,Candace Branson,,TRUE,
quarter; 25 cent coin,Noun,qupiim qupii,quartern.mp3,,qupiim qupii,quartern.mp3,,quarter.gif,,Numbers & Time,Candace Branson,,TRUE,
push it (command),Verb,cingiu,L1.19.19n.mp3,,cinggiu,L1.19.19s.mp3,,15318139.gif,,Physical Actions,Candace Branson,,TRUE,
puffin,Noun,tunraq,puffin.mp3,,tunngaq,puffins.mp3,,Puffin.gif,,Animals,Candace Branson,,TRUE,
"pouring it, s/he is",Verb,kugaa,,,kugaa,pourings.mp3,,SKH_091.gif,,Food & Kitchen,Candace Branson,,TRUE,
"pot, large cooking",Noun,asusinaq,,,asusinaq,potlargecookings.mp3,,SKT_123.gif,,Food & Kitchen,Candace Branson,,TRUE,
post,Noun,napataq,,,napataq,posts.mp3,,post.gif,,Household,Candace Branson,,TRUE,
Port Graham,Noun,Paluwik,portgrahamn.mp3,Paluwigmek taigua. - I am coming from Port Graham.,Paluwik,portgrahams.mp3,Paluwigmek taigua. - I am coming from Port Graham.,PortGraham.gif,,Placenames,Candace Branson,AWOTW,TRUE,
Port Heiden,Noun,Masriq,portheidenn.mp3,,Masriq,portheidenn.mp3,,PortHeiden.gif,,Placenames,Candace Branson,,TRUE,
"playing, s/he is",Verb,salirtuq,playing2n.mp3,,salirtuq,playing2s.mp3,,fotosearch_col_065.jpg,,Physical Actions,Candace Branson,,TRUE,
"playing, s/he is",Verb,waamuq,playingheisn.mp3,,waamuq,playings.mp3,,fotosearch_col_065_copy1.jpg,,Physical Actions,Candace Branson,,TRUE,
pocket,Noun,ka_maanuq,,,ka_maanuq,pockets.mp3,,pocket.gif,,Clothing & Regalia,Candace Branson,,TRUE,
porpoise; dolphin,Noun,mangaq,dolphin.mp3,Mangat nutgen'llkii. - Don't shoot dolphins.,mangaq,porpoises.mp3,Mangat nutgen'llkii. - Don't shoot dolphins.,dolphine.gif,,Animals,Candace Branson,AWOTW,TRUE,
porch,Noun,llaat'ruaq,,,llaat'ruaq,porchs.mp3,,fotosearch_res_056.jpg,,Household,Candace Branson,,TRUE,
porch,Noun,tuullitaq,,,,porch2s.mp3,,fotosearch_res_056_copy1.jpg,,Household,Candace Branson,,TRUE,
closet,Noun,inimawik,,,inimawik,closets.mp3,,closet.gif,,Household,Candace Branson,,TRUE,
clothes pin,Noun,spiil'kaaq,,,spiil'kaaq,clothespins.mp3,,Clothespin.gif,,Household,Candace Branson,,TRUE,
"top of it, (put it) on (command)",Locative,qainganun (lliigiu),L1.01.23n.mp3,,qainganun (lliigiu),L1.01.23s.mp3,,bearonbox.jpg,,Physical Actions,Alisha,,TRUE,
cliff (edge); bluff,Noun,penaq; p'hnaq,L2.14.07n.mp3,Tunrat mangigtut p_hnami. - Puffins are laying eggs on the cliff.,penaq; p'hnaq,L2.14.07s.mp3,Tunngat mangigtut p_hnami. - Puffins are laying eggs on the cliff.,SKW_134.gif,,Environment & Location,Candace Branson,AWOTW,TRUE,
unclean (referring to menstruating women),Verb,masaklluki (lost word),unclean.mp3,,,,,,,"Body & Health, Physical Actions",Candace Branson,Lost Words Project.,TRUE,
bolt of cloth,Noun,siit'saaq,,,siit'saaq,boltofcloths.mp3,,Fotosearch_SKC_059.gif,,Clothing & Regalia,Candace Branson,,TRUE,
hanger,Noun,inisuuteq,,,inisuuteq,hangers.mp3,,hanger.gif,,"Household, Household",Candace Branson,,TRUE,
"gutting it, s/he is",Verb,qiluigaa,L2.18.09n.mp3,,qiluigaa,L2.18.09s.mp3,,sub021.jpg,,"Animals, Community & Work",Candace Branson,,TRUE,
green onions,Noun,luuguat,,,luuguat,greenonions.mp3,,SKT_145.gif,,Food & Kitchen,Candace Branson,,TRUE,
guessing game (traditional),Noun,kaataq,guessinggamen.mp3,,kaataq,guessinggames.mp3,,Kataq.gif,,Communication & Arts,Candace Branson,,TRUE,
guitar,Noun,kitaa_aq,guitarn.mp3,,kitaa_aq,guitarn.mp3,,guitar2.gif,,Communication & Arts,Candace Branson,,TRUE,
fireweed,Noun,cillqaq,,Cillqat antaartut uksuarmi. - The fireweed comes out in the fall.,cillqaq,,Cillqat antaartut uksuarmi. - The fireweed comes out in the fall.,fireweed5.jpg,,Vegetation,Candace Branson,AWOTW,TRUE,
puchki; cow parsnip,Noun,ugsuuteq,,Ugsuutet piturnirtaartut. - Puchki always tastes good.,ugyuuteq,,Ugyuutet piturnirtaartut. - Puchki always tastes good.,24451000.thm.jpg,,"Food & Kitchen, Vegetation",Candace Branson,AWOTW,TRUE,
"cold, it is",Verb,quyartuq,coldn.mp3,,quyartuq,coldn.mp3,,Fotosearch_SKC_020.gif,,Senses & Emotions,Candace Branson,,TRUE,
"teaching, s/he is",Verb,litnauwiuq,teachingheisn.mp3,,litnauwiuq,teachingheisn.mp3,,fotosearch_evw_114.jpg,,"Community & Work, Community & Work, Physical Actions, Physical Actions",Candace Branson,,TRUE,
chisel,Noun,kelitaq,,,kelitaq,chisels.mp3,,chisel.gif,,Community & Work,Candace Branson,,TRUE,
Chirikof Island,Noun,Ukamuk,,Ukamuk yaqsigtuq. - Chirikof Island is far away.,Ukamuk,,Ukamuk yaqsigtuq. - Chirikof Island is far away.,,,Placenames,Candace Branson,AWOTW,TRUE,
pitcher (drinks),Noun,kugsiik,,,kugsiik,pitchers.mp3,,SKT_116.gif,,Food & Kitchen,Candace Branson,,TRUE,
"kitchen, in the",Locative,kenirwigmi,,,kenirwigmi,kitcheninthes.mp3,,Fotosearch_RES_062.gif,,Food & Kitchen,Candace Branson,,TRUE,
check (money),Noun,ciikaaq,checkn.mp3,,ciikaaq,checkn.mp3,,fotosearch_swo_095.jpg,,Numbers & Time,Candace Branson,,TRUE,
cereals,Noun,muusat,,,muusat,cereals.mp3,,SKT_098.gif,,Food & Kitchen,Candace Branson,,TRUE,
"scared, s/he is",Verb,alinguq,,,alinguq,scaredheiss.mp3,,scared.gif,,Senses & Emotions,Candace Branson,,TRUE,
carpenter,Noun,maas'ti_aq,carpenter1n.mp3,,maas'ti_aq,carpenter1n.mp3,,Fotosearch_RES_142.gif,,People & Roles,Candace Branson,,TRUE,
carpenter,Noun,cana'ista,,,cana'ista,carpenter2s.mp3,,Fotosearch_RES_142.gif,,"People & Roles, People & Roles",Candace Branson,,TRUE,
cap; hat,Noun,saapek; saap'kaaq,hatn.mp3,,saapek; saap'kaaq,hatn.mp3,,SKH_042.gif,,Clothing & Regalia,Candace Branson,,TRUE,
canoe,Noun,angyaruaq,canoen.mp3,,angyaruaq,canoen.mp3,,SKW_061.gif,,Transportation,Candace Branson,,TRUE,
propeller,Noun,cakgwiq,propellern.mp3,,cakgwiq,propellern.mp3,,propeller.gif,,Transportation,Candace Branson,,TRUE,
pancakes; hotcakes,Noun,aat'kiit; aat'kiiget,,,aat'kiit; aat'kiiget,pancakess.mp3,,SKT_122.gif,,Food & Kitchen,Candace Branson,,TRUE,
butter,Noun,maslaq,,,maslaq,butters.mp3,,butter.gif,,Food & Kitchen,Candace Branson,,TRUE,
"broom, large/big",Noun,kagitesinaq,L2.03.16n.mp3,,kagit'sinaq,L2.03.16s.mp3,,bigbroom.jpg,,Household,Candace Branson,,TRUE,
"bow, its (boat)",Noun,cungua,bown.mp3,,cungua,bown.mp3,,boatbow.gif,,Transportation,Candace Branson,,TRUE,
books; papers,Noun,naaqisuutet,bookn.mp3,Naaqitaartukut. - We read (books).,naaqisuutet,bookn.mp3,Naaqitaartukut. - We read (books).,SKT_042.gif,,"Communication & Arts, Community & Work",Candace Branson,AWOTW,TRUE,
"going by water, s/he is",Verb,aiwiyuq,goingbyboatn.mp3,,aiwiyuq,goingbyboatn.mp3,,goingbywater.gif,,Transportation,Candace Branson,,TRUE,
key,Noun,kluucaq,,,kluucaq,keys.mp3,,Key.gif,,Household,Candace Branson,,TRUE,
"headdress, beaded",Noun,nacaq,L2.19.04n.mp3,Nacan aturu. - Wear your headdress.,nacaq,L2.19.04s.mp3,Nacan aturu. - Wear your headdress.,Headdress.gif,,Clothing & Regalia,Candace Branson,AWOTW,TRUE,
where is it located,Adverb,nani etaa,L2.20.26n.mp3,,nani etaa,L2.20.26s.mp3,,,,Greetings & Expressions,Candace Branson,,TRUE,
wheel,Noun,aka'utaq,wheeln.mp3,,aka'utaq,wheeln.mp3,,wheel.gif,,Transportation,Candace Branson,,TRUE,
wheelbarrow,Noun,taac'kaaq,,,taac'kaaq,wheelbarrows.mp3,,wheelbarrow.gif,,"Household, Community & Work",Candace Branson,,TRUE,
"bad, it is; good, it is not",Verb,asiituq,L1.05.06n.mp3,,asiituq,L1.05.06s.mp3,,Fotosearch_SKC_095.gif,,Qualities,Candace Branson,,TRUE,
baby's things,Noun,carliam caqait,babythingsn.mp3,,carliam caqait,babysthingss.mp3,,,,Household,Candace Branson,,TRUE,
ancestor,Noun,cuuliraq; cuumillaq,ancestor.mp3,,cuuliallraq,ancestors.mp3,,inuitman.gif,,People & Roles,Candace Branson,,TRUE,
glue,Noun,nep'at'staaq,gluen.mp3,,nep'at'staaq,gluen.mp3,,Fotosearch_SKC_065.gif,,"Household, Community & Work",Candace Branson,,TRUE,
game pieces (chess; checkers...),Noun,taamat,gamepiecesn.mp3,,taamat,gamepiecesn.mp3,,SKT_035.gif,,Communication & Arts,Candace Branson,,TRUE,
"frowning (pouting), s/he or it is",Verb,putumauq,poutingn.mp3,,putumauq,poutingn.mp3,,frown.gif,,"Qualities, Qualities",Candace Branson,,TRUE,
orange (fruit),Noun,au_engceq,,,uu_ingciiq,orangefruits.mp3,,SKT_150.gif,,Food & Kitchen,Candace Branson,,TRUE,
fruit(s),Noun,f_uuk'taat; f_uut'kaat,fruitn.mp3,,f_uuk'taat; f_uut'kaat,fruit.mp3,,fruit.gif,,Food & Kitchen,Candace Branson,,TRUE,
freezer,Noun,kumlacirwik,,,kumlacirwik,freezers.mp3,,Freezer.gif,,Household,Candace Branson,,TRUE,
foods,Noun,neq'rkat,,,neq'rkat,foods.mp3,,foods.gif,,Food & Kitchen,Candace Branson,,TRUE,
store clerk,Noun,p_ikaasiik,,,p_ikaasiik,storeclerk.mp3,,clerk.gif,,People & Roles,Candace Branson,,TRUE,
"uncle, my paternal",Noun,atataaqa,L2.04.14n.mp3,,atataaqa,l2.04.14n.mp3,,unclepaternal.gif,,People & Roles,Candace Branson,,TRUE,
"aunt, maternal",Noun,acaa(q),,,acaa(q),maternalaunts.mp3,,auntmaternal.gif,,People & Roles,Candace Branson,,TRUE,
"uncle, maternal",Noun,atataa(q),L2.04.44n.mp3,,atataa(q),l2.04.44n.mp3,,unclematernal.gif,,People & Roles,Candace Branson,,TRUE,
"sparrow, golden eye",Noun,kuukuuliiq,,,,,,,,Animals,Candace Branson,,TRUE,
charm for good luck; lucky stone,Noun,nakernaq (lost word),luckcharm.mp3,,nakernaq,luckcharm.mp3,,,,"Body & Health, Environment & Location",Alisha,Lost Words Project (little stone creatures). John Pestrikoff recorded by Jeff Leer. NVA-039.v1.n15,TRUE,
"eke out an existence, we",Verb,naamacuarluci (lost word),eke_out_existence.mp3,,,eke_out_existence.mp3,,,,Community & Work,Alisha,Lost Words Project,TRUE,
"partner, his or her",Noun,angasua (lost word),her_partner.mp3,,angasua,,,,,People & Roles,Alisha,Lost Words Project. Clyda Christiansen recorded by Jeff Leer,TRUE,
container for gathering; box,Noun,taskair'suun (lost word),container.mp3,,,container.mp3,,,,"Household, Community & Work",Alisha,Lost Words Project,TRUE,
iron; metal,Noun,cawik (lost word),cawik.mp3,,,cawik.mp3,,cawik.jpeg,,"Community & Work, Environment & Location",Alisha,Lost Words Project. John Pestrikoff recorded by Jeff Leer,TRUE,
singing a unique baby song (sung sweetly),Verb,inqurluki (lost word),babysong.mp3,,,babysong.mp3,,,,"Community & Work, Physical Actions",Alisha,Lost Words Project.,TRUE,
snare,Noun,negaq (lost word),snare.mp3,,,,,,,"Animals, Community & Work",Alisha,Lost Words Project,TRUE,
nightmare,Verb,uqamai'a'uq (lost word),nightmare.mp3,,,nightmare.mp3,,,,Physical Actions,Alisha,Lost Words Project,TRUE,
"whale breast, carved",Noun,uniinaq (lost word),carved_whale_breast.mp3,,,carved_whale_breast.mp3,,,,Animals,Alisha,Lost Words Project.,TRUE,
untouchable,Noun,masanasqaq (lost word),untouchable.mp3,,,untouchable.mp3,,,,Body & Health,Alisha,Lost Words Project,TRUE,
"rapids, river",Noun,qaplunguaq (lost word),rapids.mp3,,,rapids.mp3,,qaplunguaq.jpeg,,Environment & Location,Alisha,"Lost Words Project. NVA-004.v1.n4 (tape 6, 6/6/97)",TRUE,
cataract,Noun,talataq (lost word),cataract.mp3,,,cataract.mp3,,talataq.jpg,,Body & Health,Alisha,Lost Words Project. NVA-039.V1.N15,TRUE,
"wood, that won't burn (green)",Noun,quarnaq (lost word),green_wood.mp3,,,green_wood.mp3,,,,Community & Work,Alisha,Lost Words Project,TRUE,
infectious disease,Noun,suarniliq (lost word),infectious_disease.mp3,,,infectious_disease.mp3,,,,Body & Health,Alisha,Lost Words Project. Literally: sour smell. NVA-004.v1.n4c (6/5/97),TRUE,
whaler; whale shaman,Noun,ar'ursulek (lost word),whaler.mp3,,,whaler.mp3,,,,People & Roles,Alisha,Lost Words Project. Ralph Demidoff recorded by Irene Reed,TRUE,
sandflea; jumping jack,Noun,kumikaq (lost word),jumpingjack.mp3,,,jumpingjack.mp3,,,,Animals,Alisha,Lost Words Project. Carl Christiansen (10:19-10:29),TRUE,
check to see; watch out for; diagnose,Verb,cacirsurluki (lost word),diagnose.mp3,,,diagnose.mp3,,,,Physical Actions,Alisha,Lost Words Project. NVA-004.v1.n4 (6/4/97),TRUE,
boss around,Verb,piuluni (lost word),piuluni.mp3,,,piuluni.mp3,,,,"Community & Work, Physical Actions",Alisha,Lost Words Project.,TRUE,
beach beetle,Noun,pulayuq (lost word),pulayuq.mp3,,,pulayuq.mp3,,,,Animals,Alisha,Lost Words Project. Carl Christiansen recorded by Shauna Hegna,TRUE,
fool; liar,Noun,iqllucem (lost word),fool_liar.mp3,,,fool_liar.mp3,,,,People & Roles,Alisha,Lost Words Project. Clyda Christiansen recorded by Jeff Leer in the Woman Who Became a Bear story.,TRUE,
Lent; fasting,Complex,yagyaturngan (lost word),lent.mp3,,,lent.mp3,,,,"Body & Health, Community & Work",Alisha,"Lost Words Project. NVA-004.v1.n4c (6/5/97) ""When it is Lent""",TRUE,
nests,Noun,neg'et (lost word),nests.mp3,,,nests.mp3,,neget.jpg,,"Animals, Environment & Location",Alisha,Lost Word Project. Florence Pestrikoff remembered,TRUE,
cheater,Noun,iqllucilekwanek (lost word),cheater.mp3,,,cheater.mp3,,,,People & Roles,Alisha,Lost Words Project. Clyda Christiansen recorded by Jeff Leer in the Woman Who Becomes a Bear,TRUE,
holy water,Noun,switiiq (lost word),holy_water.mp3,,,holy_water.mp3,,,,"Body & Health, Community & Work",Alisha,Lost Words Project.,TRUE,
"charge at a person, to",Verb,cu'ukarluku (lost word),cuukarluku.mp3,,,cuukarluku.mp3,,,,"Animals, Physical Actions",Alisha,Lost Words Project NVA-004.v1.n4g Clyda Christiansen recorded by Jeff Leer in 2000. References an animal charging at a person.,TRUE,
potty; chamberpot; toilet (bowl),Noun,qaaluq (lost word),kaaluq.mp3,,,,,qaaluq.jpeg,,Household,Alisha,Lost Words Project; Julia Pestrikoff and Alice Spracher recorded by Joann Mulcahy in 1985,TRUE,
"blessing it with holy water, to",Verb,switiirluku (lost word),switiirluku.mp3,,,switiirluku.mp3,,,,"Body & Health, Physical Actions",Alisha,Lost Words Project,TRUE,
Sturgeon River (at),Noun,Amawik; Amani (lost word),amawik.mp3,,,amawik.mp3,,,,"Placenames, Environment & Location",Alisha,Lost Words Project. Clyda Christiansen recorded by Jeff Leer,TRUE,
"hill, little; outcropping",Noun,qumulunaq (lost word),hill.mp3,,,,,,,Environment & Location,Alisha,Lost Words Project. Clyda Christiansen recorded by Jeff Leer,TRUE,
"person, when as a",Complex,suumaciwitun (lost word),personlike.mp3,,,,,,,"Physical Actions, People & Roles",Alisha,Lost Words Project. Clyda Christiansen recorded by Jeff Leer,TRUE,
"became a bear, they two",Verb,taquka'araullutek (lost word),become_a_bear.mp3,,,,,,,Physical Actions,Alisha,Lost Words Project. Clyda Christiansen recorded by Jeff Leer,TRUE,
aswarwiqllukek,Verb,"confronting it, they two are (lost word)",confronts.mp3,,,,,,,Physical Actions,Alisha,Lost Words Project. John Pestrikoff recorded by Jeff Leer,TRUE,
softening something up (by chewing it),Verb,unaiyuncarluku (lost word),soften_it_up.mp3,,,,,,,Physical Actions,Alisha,Lost Words Project. Clyda Christiansen recorded by Jeff Leer,TRUE,
because of that; and then; but then,Adverb,pettam; petta (lost word),petta.mp3,,,,,,,Greetings & Expressions,Alisha,"Lost Words Project. Russian root word ""pettamu"" - because of that, Alutiicized. Clyda Christiansen recorded by Jeff Leer",TRUE,
sniffing them,Verb,cingaruaqaalluki (lost word),sniffing_demidoff62.mp3,,,,,,,Physical Actions,Alisha,Lost Words Project. Ralph Demidoff 1962 recorded by Irene Reed.,TRUE,
"coming up for air, it is",Verb,puskuq (lost word),puskuq.mp3,,,,,,,"Animals, Physical Actions",Alisha,Lost Words Project; John Pestrikoff recorded by Jeff Leer in 2000. NVA-034.v3.n5a (around 14:30),TRUE,
smoked salmon,Noun,paalkaaq,L1.07.12n.mp3,,paliik,smoked_salmon.mp3,,Tamuuq.gif,,Food & Kitchen,Alisha,,TRUE,
"fish, filleted halved fish hung to dry",Noun,kac'amaasaq (lost word),kacamaasaq.mp3,,,kacamaasaq.mp3,,,,Food & Kitchen,Alisha,"Lost Words Project; Prepared similarly to uumatek (boiled half-dry fish). Clyda Christiansen, Recorded by Jeff Leer in 2001. CC 7/3/01 #1 (58:28-59:16)",TRUE,
shroud; octopus skin cover (head cover in steam bath),Noun,sagayak (lost word),shroud_octopus_skin.mp3,,,shroud_octopus_skin.mp3,,,,Clothing & Regalia,Alisha,Lost Words Project; John Pestrikoff recorded by Jeff Leer NVA-062.v4.n6b (Head cover for use in the maqiwik),TRUE,
"Devil's Inlet, to",Noun,It'rani Iiranun (lost word),devils_inlet.mp3,,,,,,,"Placenames, Environment & Location",Alisha,Lost Word Project. John Pestrikoff recorded by Jeff Leer in the Maqiwigmi story.,TRUE,
an Afognak Island location,Noun,Tutrauraluq (lost word),tutrauraluq.mp3,,,,,,,"Placenames, Environment & Location",Alisha,Lost Words Project. John Pestrikoff recorded by Jeff Leer in the Maqiwigmi story.,TRUE,
legend; origin story,Noun,unigkuaq,unigkuaq.mp3,,unigkuaq,unigkuaq.mp3,,peo014.jpg,,"Communication & Arts, Communication & Arts",Alisha,AWOTW; Unigkua'at (plural). John Pestrikoff recorded by Jeff Leer,TRUE,
songbird,Noun,putic'kaq (lost word),songbirds.mp3,,,songbirds.mp3,,putickaq.jpg,,Animals,Alisha,Lost Words Project. Clyda Christiansen recording of the Woman Who Became a Bear story. Audio clip appears in the possessive form.,TRUE,
coming up for air,Verb,puskuluni (lost word),puskuluni.mp3,,,,,,,"Animals, Physical Actions",Alisha,Lost Words Project; John Pestrikoff recorded by Jeff Leer. NVA-034.v3.n5a (around 14:30),TRUE,
cannibals; cannibalistic people,Noun,sugturtasqat suu'ut (Lost Word),cannibals.mp3,,,,,,,People & Roles,Alisha,Lost Words Project. John Pestrikoff interviewed by Jeff Leer in the story Magiwigmi Tutrauralumi.,TRUE,
squirrel; parka (squirrel),Noun,qanganaq,squirrel.mp3,Cuumi canataak'gpet qangananek atkupet. - Before our coats were made from ground squirrels.,qanganaq,,Cuumi canataak'gpet qangananek atkupet. - Before our coats were made from ground squirrels.,squirrel.gif,,"Animals, Food & Kitchen, Clothing & Regalia",Alisha,AWOTW,TRUE,
