english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
"bra, nursing",Noun,aamarsuutek,nursingbran.mp3,,aamarsuutek,bras.mp3,,skh_055.jpg,,Clothing & Regalia,Candace Branson,,TRUE,
bra,Noun,aamautek,bran.mp3,,aamautek,bran.mp3,,SKH_055.gif,,Clothing & Regalia,Candace Branson,,TRUE,
book's insides,Noun,naaqisuutem ilua,bookinsidesn.mp3,,naaqisuutem ilua,bookinsidesn.mp3,,,,Communication & Arts,Candace Branson,,TRUE,
bloodletting horn,Noun,melutaq,,,melutaq,,,,,Body & Health,Candace Branson,Remembered Word,TRUE,
boat rudder,Noun,a_ulaq,boatruddern.mp3,,a_ulaq,boatruddern.mp3,,rudder.gif,,Transportation,Candace Branson,,TRUE,
button (on clothes),Noun,puukicaaq,buttonn.mp3,,puukicaaq,buttonn.mp3,,button.gif,,Clothing & Regalia,Candace Branson,,TRUE,
baby,Noun,carliaq,l1.03.03s.mp3,,carliaq,l1.03.03s.mp3,,SKH_114.gif,,People & Roles,Candace Branson,,TRUE,
condom,Noun,a_aparuaq,condomn.mp3,,a_aparuaq,condomn.mp3,,condom.jpg,,Household,Candace Branson,New Word,TRUE,
"dark, it was kind of",Verb,tamleguarllria,darkitwasn.mp3,,tamleguarll'ia,darkitwasn.mp3,,,,Qualities,Candace Branson,,TRUE,
"bat, baseball",Noun,piq'rquutaq,ballbatn.mp3,,piq'ruutaq,baseballbats.mp3,,baseballbat.gif,,Communication & Arts,Candace Branson,,TRUE,
bank; storage place,Noun,qumlurwiat,,,qumlurwiat,bankstorageplaces.mp3,,Fotosearch_EVW_071.gif,,Numbers & Time,Candace Branson,,TRUE,
beans,Noun,piin'saat,beansn.mp3,,piin'caat,beansn.mp3,,beans.jpg,,Food & Kitchen,Candace Branson,,TRUE,
